Date,GDP and main aggregates - international data cooperation quarterly data
2009-01-01,782320.0
2009-04-01,819279.0
2009-07-01,811423.0
2009-10-01,862621.0
2010-01-01,876291.0
2010-04-01,899836.0
2010-07-01,881222.0
2010-10-01,940281.0
2011-01-01,970973.0
2011-04-01,1035903.0
2011-07-01,1023348.0
2011-10-01,1132289.0
2012-01-01,1116900.0
2012-04-01,1204784.0
2012-07-01,1178433.0
2012-10-01,1267074.0
2013-01-01,1261899.0
2013-04-01,1342191.0
2013-07-01,1318292.0
2013-10-01,1388940.0
2014-01-01,1427619.0
2014-04-01,1513689.0
2014-07-01,1503150.0
2014-10-01,1559377.0
2015-01-01,1640995.0
2015-04-01,1758441.0
2015-07-01,1725823.0
2015-10-01,1759060.0
2016-01-01,1836000.0
2016-04-01,1904659.0
2016-07-01,1904785.0
2016-10-01,1948619.0
2017-01-01,2065883.0
2017-04-01,2161655.0
2017-07-01,2114594.0
2017-10-01,2141264.0
2018-01-01,2285230.0
2018-04-01,2381895.0
2018-07-01,2324314.0
2018-10-01,2348868.0
2019-01-01,2483110.3
2019-04-01,2596326.3
2019-07-01,2562716.0
2019-10-01,2595574.5
2020-01-01,2749037.8
2020-04-01,2619046.0
2020-07-01,2536922.5
2020-10-01,2810063.8
2021-01-01,2914789.3
2021-04-01,2994306.8
2021-07-01,2942830.8
2021-10-01,3175734.8
2022-01-01,3326978.0
2022-04-01,3410168.8
2022-07-01,3300929.5
2022-10-01,3444927.0
2023-01-01,3688594.8
